index,Date,product_group,dispatches_SellIn,orders_SellIn,SellOut,promo,hyp_promo,type_promo_1,type_promo_2,sin_dayofyear,cos_dayofyear,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9
92,2016-08-28,Product_04,6740,6740,3826,72.10000000000002,0.0,0.0,0.0,-0.8452490573530633,-0.5343725582809785,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
98,2016-08-28,Product_11,545,545,302,0.1,0.0,0.0,0.0,-0.8452490573530633,-0.5343725582809785,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
102,2016-08-28,Product_17,422,422,375,5.9,0.0,0.0,0.0,-0.8452490573530633,-0.5343725582809785,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
112,2016-08-28,Product_32,883,883,462,0.7000000000000001,0.0,0.0,0.0,-0.8452490573530633,-0.5343725582809785,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
123,2016-09-04,Product_04,3872,3872,9571,89.60000000000002,86.1271676300578,1.0,1.0,-0.9033558023246842,-0.4288919379124841,-1.5930656278948032,-0.2708782646040398,-0.6569070350395779,-0.6569070350395779,-0.6569070350395779,-0.6569070350395779,-0.6569070350395779,-0.6569070350395779,-0.6569070350395779,-0.6569070350395779
129,2016-09-04,Product_11,0,0,330,0.1,0.0,0.0,0.0,-0.9033558023246842,-0.4288919379124841,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
134,2016-09-04,Product_17,218,218,596,10.4,61.84971098265896,1.0,1.0,-0.9033558023246842,-0.4288919379124841,-0.15134983069836166,-0.0003064807102592012,-0.006810712415749452,-0.006810712415749452,-0.006810712415749452,-0.006810712415749452,-0.006810712415749452,-0.006810712415749452,-0.006810712415749452,-0.006810712415749452
144,2016-09-04,Product_32,1192,1192,450,0.7000000000000001,0.0,0.0,0.0,-0.9033558023246842,-0.4288919379124841,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
155,2016-09-11,Product_04,1129,1303,3654,69.4,0.0,0.0,0.0,-0.9483615800121716,-0.31719128858910595,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
161,2016-09-11,Product_11,393,393,311,0.1,0.0,0.0,0.0,-0.9483615800121716,-0.31719128858910595,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
166,2016-09-11,Product_17,863,863,413,6.5,0.0,0.0,0.0,-0.9483615800121716,-0.31719128858910595,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
176,2016-09-11,Product_32,1593,1593,480,0.8,0.0,0.0,0.0,-0.9483615800121716,-0.31719128858910595,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
187,2016-09-18,Product_04,3322,3322,3414,68.5,0.0,0.0,0.0,-0.9796136916454901,-0.20089055513063528,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
193,2016-09-18,Product_11,403,403,279,0.8,0.0,0.0,0.0,-0.9796136916454901,-0.20089055513063528,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
198,2016-09-18,Product_17,1141,1141,386,6.2,0.0,0.0,0.0,-0.9796136916454901,-0.20089055513063528,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
209,2016-09-18,Product_32,778,778,466,0.9,0.0,0.0,0.0,-0.9796136916454901,-0.20089055513063528,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
220,2016-09-25,Product_04,7399,7745,3603,66.10000000000001,0.0,0.0,0.0,-0.99665890175417,-0.08167639533042288,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
226,2016-09-25,Product_11,436,436,300,0.2,0.0,0.0,0.0,-0.99665890175417,-0.08167639533042288,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
231,2016-09-25,Product_17,683,683,385,2.8000000000000003,0.0,0.0,0.0,-0.99665890175417,-0.08167639533042288,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
242,2016-09-25,Product_32,432,432,484,1.9,0.0,0.0,0.0,-0.99665890175417,-0.08167639533042288,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
